dataset_period,marketplace,category_group,brand_group,product_group,product_count,sales_index,units_index,margin_index,estimated_profitability_index,margin_band_public,profitability_band_public,margin_risk_score,margin_risk_band,revenue_quality_score,revenue_quality_band
12m,Meesho,Body Care,Vaseline,Deodorant & Body Spray,3,6.8,10.8,8.0,58.7,Unmapped,Unmapped,5.6,Low Risk,89.3,Strong
12m,Meesho,Hair Care,Pantene,Hair Oil & Serum,1,3.7,3.7,4.2,55.6,Unmapped,Unmapped,5.6,Low Risk,86.5,Strong
12m,Meesho,Hair Care,Vita Keratin,General Product,1,3.2,3.4,3.8,56.2,Unmapped,Unmapped,5.6,Low Risk,87.2,Strong
12m,Meesho,Skin Care,Vaseline,Body Scrub,1,2.9,3.7,3.4,56.6,Unmapped,Unmapped,5.6,Low Risk,88.2,Strong
12m,Meesho,Skin Care,Nexcare,General Product,1,2.8,3.5,3.3,56.2,Unmapped,Unmapped,5.6,Low Risk,87.3,Strong
12m,JioMart,Health & Wellness,Tiger Balm,Herbal Inhaler,3,2.6,7.2,3.0,57.8,Unmapped,Unmapped,5.6,Low Risk,90.0,Strong
12m,JioMart,Home & Kitchen,SHIVAMAX,Adhesive Hooks,3,2.6,7.3,3.0,56.9,Unmapped,Unmapped,5.6,Low Risk,88.1,Strong
12m,Meesho,Hair Care,Dove,Shampoo,1,2.3,4.7,2.8,57.3,Unmapped,Unmapped,5.6,Low Risk,89.7,Strong
12m,JioMart,Home & Kitchen,SHIVAMAX,General Product,1,1.1,2.5,1.3,56.7,Unmapped,Unmapped,5.6,Low Risk,88.4,Strong
12m,Meesho,Hair Care,Pantene,Hair Conditioner & Treatment,9,33.3,36.3,39.6,71.0,Unmapped,Unmapped,5.5,Low Risk,88.3,Strong
12m,JioMart,Hair Care,Sunsilk,Shampoo,5,5.2,12.8,6.1,58.6,Unmapped,Unmapped,5.5,Low Risk,88.3,Strong
12m,JioMart,Health & Wellness,SHIVAMAX,Herbal Inhaler,4,4.3,10.6,5.1,58.1,Unmapped,Unmapped,5.5,Low Risk,88.5,Strong
12m,Meesho,Body Care,Dove,General Product,1,4.1,4.1,4.9,57.3,Unmapped,Unmapped,5.5,Low Risk,88.8,Strong
12m,Meesho,Hair Care,Fino,Hair Oil & Serum,1,3.6,3.8,4.2,56.7,Unmapped,Unmapped,5.5,Low Risk,88.2,Strong
12m,Meesho,Body Care,Vaseline,Body Lotion,1,3.4,3.5,4.1,56.6,Unmapped,Unmapped,5.5,Low Risk,88.5,Strong
12m,JioMart,Hair Care,Dove,Hair Oil & Serum,2,2.3,4.4,2.5,55.4,Unmapped,Unmapped,5.5,Low Risk,86.6,Strong
12m,Meesho,Skin Care,Watsons,Lip Care,1,1.9,3.9,2.3,58.5,Unmapped,Unmapped,5.5,Low Risk,93.0,Strong
12m,JioMart,Skin Care,Biore,Sunscreen,1,1.6,2.1,1.9,54.9,Unmapped,Unmapped,5.5,Low Risk,85.6,Strong
12m,JioMart,Hair Care,Dove,Shampoo,1,1.4,2.8,1.6,55.2,Unmapped,Unmapped,5.5,Low Risk,87.3,Strong
12m,JioMart,Skin Care,AR,General Product,1,1.2,2.5,1.5,56.4,Unmapped,Unmapped,5.5,Low Risk,86.6,Strong
12m,JioMart,Skin Care,Kaowmanee,General Product,1,0.9,2.3,1.0,55.0,Unmapped,Unmapped,5.5,Low Risk,86.4,Strong
12m,JioMart,Health & Wellness,NOVOLIFE,Herbal Inhaler,1,0.7,2.3,0.8,57.6,Unmapped,Unmapped,5.5,Low Risk,89.9,Strong
12m,JioMart,Oral Care,Watsons,Floss Picks,6,6.1,14.8,7.2,58.9,Unmapped,Unmapped,5.4,Low Risk,89.1,Strong
12m,Meesho,Oral Care,Watsons,Interdental Brush,1,3.1,3.5,3.8,57.3,Unmapped,Unmapped,5.4,Low Risk,89.4,Strong
12m,JioMart,Skin Care,Nexcare,General Product,1,2.0,2.4,2.2,54.2,Unmapped,Unmapped,5.4,Low Risk,84.5,Strong
12m,JioMart,Skin Care,Sasi,General Product,1,1.3,2.8,1.5,56.0,Unmapped,Unmapped,5.4,Low Risk,89.2,Strong
12m,Meesho,Hair Care,Tresemme,Hair Conditioner & Treatment,2,7.4,7.7,9.0,59.5,Unmapped,Unmapped,5.3,Low Risk,90.2,Strong
12m,JioMart,Body Care,Protex,General Product,4,4.2,9.8,5.1,58.8,Unmapped,Unmapped,5.3,Low Risk,89.9,Strong
12m,JioMart,Oral Care,Watsons,Dental Floss,3,3.5,7.3,4.2,58.2,Unmapped,Unmapped,5.3,Low Risk,89.5,Strong
12m,JioMart,Hair Care,Fino,Hair Oil & Serum,1,2.9,3.0,3.3,55.1,Unmapped,Unmapped,5.3,Low Risk,85.8,Strong
12m,JioMart,Skin Care,Vaseline,Face Cleanser,1,2.9,3.0,3.3,56.0,Unmapped,Unmapped,5.3,Low Risk,87.0,Strong
12m,Meesho,Skin Care,Biore,Sunscreen,1,2.7,3.7,3.4,57.8,Unmapped,Unmapped,5.3,Low Risk,90.6,Strong
12m,JioMart,Lip,Sasi,Lip Care,1,1.2,2.4,1.4,56.0,Unmapped,Unmapped,5.3,Low Risk,89.2,Strong
12m,JioMart,Hair Care,Dove,General Product,6,7.6,15.5,9.1,59.5,Unmapped,Unmapped,5.2,Low Risk,89.0,Strong
12m,JioMart,Body Care,Rexona,Deodorant & Body Spray,3,7.2,8.9,8.5,58.3,Unmapped,Unmapped,5.2,Low Risk,86.7,Strong
12m,JioMart,Health & Wellness,Counterpain,Pain Relief,3,6.5,8.1,7.7,58.0,Unmapped,Unmapped,5.2,Low Risk,87.6,Strong
12m,JioMart,Skin Care,L'Oreal Paris,Face Cleanser,1,2.2,2.6,2.5,56.0,Unmapped,Unmapped,5.2,Low Risk,86.4,Strong
12m,JioMart,Body Care,Snake Brand,General Product,1,1.0,2.3,1.2,57.4,Unmapped,Unmapped,5.2,Low Risk,89.5,Strong
12m,JioMart,Electronics & Travel Accessories,SHIVAMAX,Travel Adapter,1,0.8,2.5,1.0,58.4,Unmapped,Unmapped,5.2,Low Risk,92.0,Strong
12m,JioMart,Health & Wellness,Poy Sian,Herbal Inhaler,1,0.8,1.8,0.9,57.5,Unmapped,Unmapped,5.2,Low Risk,88.7,Strong
12m,JioMart,Oral Care,Colgate,Toothpaste,9,17.3,22.6,20.6,63.9,Unmapped,Unmapped,5.1,Low Risk,88.6,Strong
12m,JioMart,Hair Care,Sunsilk,Hair Conditioner & Treatment,8,15.2,21.0,18.3,63.3,Unmapped,Unmapped,5.1,Low Risk,89.7,Strong
12m,JioMart,Hair Care,SHIVAMAX,Hair Conditioner & Treatment,2,5.2,5.1,6.0,56.8,Unmapped,Unmapped,5.1,Low Risk,86.5,Strong
12m,JioMart,Oral Care,Listerine,Mouthwash,3,4.9,7.6,5.9,58.3,Unmapped,Unmapped,5.1,Low Risk,89.4,Strong
12m,JioMart,Hair Care,Tresemme,Hair Conditioner & Treatment,2,4.7,4.7,5.5,57.1,Unmapped,Unmapped,5.1,Low Risk,88.0,Strong
12m,JioMart,Body Care,Vaseline,Deodorant & Body Spray,3,4.5,6.9,5.5,58.4,Unmapped,Unmapped,5.1,Low Risk,89.1,Strong
12m,JioMart,Hair Care,Pantene,General Product,2,4.3,5.8,5.1,57.5,Unmapped,Unmapped,5.1,Low Risk,89.3,Strong
12m,JioMart,Hair Care,Pantene,Hair Conditioner & Treatment,9,21.6,22.4,25.8,65.7,Unmapped,Unmapped,5.0,Low Risk,88.1,Strong
12m,JioMart,Skin Care,Senka,Face Cleanser,5,12.2,12.0,14.5,61.0,Unmapped,Unmapped,5.0,Low Risk,88.5,Strong
12m,JioMart,Body Care,Axe,Deodorant & Body Spray,5,11.5,12.8,13.8,61.2,Unmapped,Unmapped,5.0,Low Risk,88.5,Strong
12m,JioMart,Body Care,Vaseline,Body Wash,3,7.2,7.1,8.5,58.9,Unmapped,Unmapped,5.0,Low Risk,89.3,Strong
12m,JioMart,Body Care,Vaseline,General Product,2,4.7,5.4,5.6,58.1,Unmapped,Unmapped,5.0,Low Risk,89.5,Strong
12m,JioMart,Oral Care,Sensodyne,Toothpaste,2,4.5,4.4,5.4,57.2,Unmapped,Unmapped,5.0,Low Risk,87.4,Strong
12m,JioMart,Body Care,Dove,Deodorant & Body Spray,2,3.8,4.8,4.6,57.9,Unmapped,Unmapped,5.0,Low Risk,89.2,Strong
12m,JioMart,Body Care,Tros,Deodorant & Body Spray,2,2.4,4.8,3.0,58.9,Unmapped,Unmapped,5.0,Low Risk,91.4,Strong
12m,JioMart,Lip,Sasi,Sunscreen,1,1.3,2.5,1.6,58.5,Unmapped,Unmapped,5.0,Low Risk,92.5,Strong
12m,JioMart,Oral Care,Oral-B,Toothpaste,4,9.9,10.3,11.9,60.8,Unmapped,Unmapped,4.9,Low Risk,89.0,Strong
12m,JioMart,Hair Care,Dove,Hair Conditioner & Treatment,3,8.4,8.2,10.2,59.7,Unmapped,Unmapped,4.9,Low Risk,88.2,Strong
12m,JioMart,Oral Care,Oral-B,Dental Floss,4,8.2,11.0,10.1,60.7,Unmapped,Unmapped,4.9,Low Risk,90.8,Strong
12m,JioMart,Skin Care,NEXCARE,General Product,3,5.6,7.1,6.7,58.2,Unmapped,Unmapped,4.9,Low Risk,90.3,Strong
12m,JioMart,Oral Care,Ora2,Toothpaste,2,5.1,5.0,6.3,58.3,Unmapped,Unmapped,4.9,Low Risk,88.5,Strong
12m,JioMart,Home & Kitchen,Ambi Pur,Air Freshener,1,2.5,2.4,3.0,57.3,Unmapped,Unmapped,4.9,Low Risk,89.0,Strong
12m,JioMart,Body Care,Vaseline,Body Lotion,1,2.3,2.3,2.8,56.0,Unmapped,Unmapped,4.9,Low Risk,88.5,Strong
12m,JioMart,Skin Care,Vaseline,Body Scrub,1,2.3,2.8,2.8,57.5,Unmapped,Unmapped,4.9,Low Risk,90.7,Strong
12m,JioMart,Health & Wellness,Wangprom,General Product,1,1.9,2.8,2.3,57.2,Unmapped,Unmapped,4.9,Low Risk,89.8,Strong
12m,JioMart,Electronics & Travel Accessories,SHIVAMAX,General Product,1,1.4,2.4,1.7,56.2,Unmapped,Unmapped,4.9,Low Risk,89.2,Strong
12m,JioMart,Skin Care,Watsons,Lip Care,1,1.2,2.4,1.5,58.5,Unmapped,Unmapped,4.9,Low Risk,93.1,Strong
12m,JioMart,Hair Care,Pantene,Shampoo,2,4.5,4.5,5.4,57.7,Unmapped,Unmapped,4.8,Low Risk,89.5,Strong
12m,JioMart,Body Care,Dove,General Product,1,3.0,3.0,3.7,57.5,Unmapped,Unmapped,4.8,Low Risk,89.4,Strong
12m,JioMart,Skin Care,Vaseline,Sunscreen,1,2.6,2.6,3.2,56.7,Unmapped,Unmapped,4.8,Low Risk,88.7,Strong
12m,JioMart,Hair Care,Fino,Hair Conditioner & Treatment,1,2.5,2.5,3.0,56.2,Unmapped,Unmapped,4.8,Low Risk,90.0,Strong
12m,JioMart,Hair Care,Pantene,Hair Oil & Serum,1,2.5,2.5,3.0,57.0,Unmapped,Unmapped,4.8,Low Risk,89.5,Strong
12m,JioMart,Oral Care,Watsons,Interdental Brush,1,2.3,2.5,2.9,57.5,Unmapped,Unmapped,4.8,Low Risk,89.6,Strong
12m,JioMart,Hair Care,Vita Keratin,General Product,1,2.0,2.1,2.5,57.2,Unmapped,Unmapped,4.8,Low Risk,91.9,Strong
12m,JioMart,Health & Wellness,Tiger Balm,Pain Relief,2,4.5,4.9,5.5,59.2,Unmapped,Unmapped,4.7,Low Risk,91.6,Strong
12m,JioMart,Hair Care,Tresemme,Shampoo,1,2.0,2.0,2.5,56.9,Unmapped,Unmapped,4.7,Low Risk,89.9,Strong
12m,JioMart,Skin Care,Pair,General Product,1,2.4,2.5,3.0,58.3,Unmapped,Unmapped,4.6,Low Risk,92.4,Strong
12m,Website,Home & Kitchen,SHIVAMAX,Adhesive Hooks,3,2.9,8.4,3.6,60.5,Unmapped,Unmapped,4.0,Low Risk,90.6,Strong
12m,Website,Health & Wellness,Poy Sian,Herbal Inhaler,1,0.9,2.2,1.1,57.9,Unmapped,Unmapped,4.0,Low Risk,87.6,Strong
12m,Website,Health & Wellness,NOVOLIFE,Herbal Inhaler,1,0.9,2.9,1.1,58.8,Unmapped,Unmapped,3.9,Low Risk,88.4,Strong
12m,Website,Health & Wellness,Tiger Balm,Herbal Inhaler,3,2.6,7.1,3.1,60.3,Unmapped,Unmapped,3.8,Low Risk,90.7,Strong
12m,Website,Skin Care,Kaowmanee,General Product,1,1.0,2.7,1.2,59.2,Unmapped,Unmapped,3.8,Low Risk,89.4,Strong
12m,Website,Health & Wellness,SHIVAMAX,Herbal Inhaler,4,4.1,10.2,5.1,61.0,Unmapped,Unmapped,3.6,Low Risk,91.6,Strong
12m,Website,Oral Care,Watsons,Floss Picks,6,6.3,14.8,7.9,62.3,Unmapped,Unmapped,3.5,Low Risk,92.2,Strong
12m,Website,Skin Care,NEXCARE,General Product,3,6.3,7.9,7.6,60.4,Unmapped,Unmapped,3.5,Low Risk,89.8,Strong
12m,Website,Electronics & Travel Accessories,SHIVAMAX,General Product,1,1.6,2.6,2.0,60.0,Unmapped,Unmapped,3.5,Low Risk,90.7,Strong
12m,Website,Skin Care,Watsons,Lip Care,1,1.5,2.9,1.8,59.9,Unmapped,Unmapped,3.5,Low Risk,91.6,Strong
12m,Website,Lip,Sasi,Sunscreen,1,1.4,2.7,1.8,59.9,Unmapped,Unmapped,3.5,Low Risk,92.2,Strong
12m,Website,Skin Care,Sasi,General Product,1,1.0,2.2,1.3,59.8,Unmapped,Unmapped,3.5,Low Risk,92.2,Strong
12m,Website,Body Care,Protex,General Product,4,4.0,9.1,5.1,61.3,Unmapped,Unmapped,3.4,Low Risk,92.2,Strong
12m,Website,Oral Care,Watsons,Dental Floss,3,3.2,6.8,4.2,60.9,Unmapped,Unmapped,3.4,Low Risk,93.2,Strong
12m,Website,Hair Care,Fino,Hair Conditioner & Treatment,1,2.6,2.6,3.3,58.9,Unmapped,Unmapped,3.4,Low Risk,88.9,Strong
12m,Website,Oral Care,Oral-B,Dental Floss,4,8.2,10.3,10.3,62.6,Unmapped,Unmapped,3.3,Low Risk,91.7,Strong
12m,Website,Hair Care,Sunsilk,Shampoo,5,5.4,13.1,6.9,62.0,Unmapped,Unmapped,3.3,Low Risk,94.0,Strong
12m,Website,Oral Care,Listerine,Mouthwash,3,5.4,7.9,6.8,61.9,Unmapped,Unmapped,3.3,Low Risk,92.2,Strong
12m,Website,Hair Care,Dove,Hair Oil & Serum,2,2.6,5.0,3.2,60.4,Unmapped,Unmapped,3.3,Low Risk,93.1,Strong
12m,Website,Health & Wellness,Wangprom,General Product,1,1.8,2.7,2.2,59.5,Unmapped,Unmapped,3.3,Low Risk,91.1,Strong
12m,Website,Health & Wellness,Wangprom,Herbal Inhaler,1,1.0,2.5,1.3,59.8,Unmapped,Unmapped,3.3,Low Risk,94.6,Strong
12m,Website,Home & Kitchen,SHIVAMAX,General Product,1,1.0,2.4,1.3,59.8,Unmapped,Unmapped,3.3,Low Risk,94.0,Strong
12m,Website,Body Care,Vaseline,Body Wash,3,9.2,8.9,11.6,63.3,Unmapped,Unmapped,3.2,Low Risk,91.4,Strong
12m,Website,Hair Care,Dove,General Product,6,7.1,14.2,9.1,62.9,Unmapped,Unmapped,3.2,Low Risk,94.0,Strong
12m,Website,Hair Care,Fino,Hair Oil & Serum,1,2.3,2.4,3.0,59.7,Unmapped,Unmapped,3.2,Low Risk,91.5,Strong
12m,Website,Hair Care,Vita Keratin,General Product,1,2.3,2.4,3.0,59.1,Unmapped,Unmapped,3.2,Low Risk,91.2,Strong
12m,Website,Electronics & Travel Accessories,SHIVAMAX,Travel Adapter,1,0.7,2.3,0.9,59.7,Unmapped,Unmapped,3.2,Low Risk,97.3,Strong
12m,Website,Hair Care,Sunsilk,Hair Conditioner & Treatment,8,14.5,19.7,18.6,66.7,Unmapped,Unmapped,3.1,Low Risk,92.9,Strong
12m,Website,Body Care,Dove,Deodorant & Body Spray,2,4.2,5.4,5.3,60.9,Unmapped,Unmapped,3.1,Low Risk,91.9,Strong
12m,Website,Hair Care,Tresemme,Shampoo,1,2.8,2.7,3.6,60.6,Unmapped,Unmapped,3.1,Low Risk,92.7,Strong
12m,Website,Skin Care,L'Oreal Paris,Face Cleanser,1,1.9,2.3,2.4,60.3,Unmapped,Unmapped,3.1,Low Risk,93.8,Strong
12m,Website,Body Care,Snake Brand,General Product,1,1.5,3.2,1.9,60.1,Unmapped,Unmapped,3.1,Low Risk,95.6,Strong
12m,Website,Hair Care,Dove,Shampoo,1,0.9,1.8,1.2,59.8,Unmapped,Unmapped,3.1,Low Risk,93.4,Strong
12m,Website,Hair Care,Pantene,Hair Conditioner & Treatment,9,22.8,23.6,29.2,70.6,Unmapped,Unmapped,3.0,Low Risk,92.4,Strong
12m,Website,Oral Care,Colgate,Toothpaste,9,17.5,23.0,22.5,68.2,Unmapped,Unmapped,3.0,Low Risk,93.4,Strong
12m,Website,Skin Care,Senka,Face Cleanser,5,13.6,13.1,17.4,65.7,Unmapped,Unmapped,3.0,Low Risk,92.4,Strong
12m,Website,Health & Wellness,Counterpain,Pain Relief,3,6.2,7.7,8.0,62.5,Unmapped,Unmapped,3.0,Low Risk,94.2,Strong
12m,Website,Hair Care,SHIVAMAX,Hair Conditioner & Treatment,2,5.3,5.1,6.8,61.9,Unmapped,Unmapped,3.0,Low Risk,93.1,Strong
12m,Website,Health & Wellness,Tiger Balm,Pain Relief,2,4.5,4.9,5.8,61.0,Unmapped,Unmapped,3.0,Low Risk,92.4,Strong
12m,Website,Skin Care,Vaseline,Sunscreen,1,2.5,2.4,3.2,60.6,Unmapped,Unmapped,3.0,Low Risk,92.3,Strong
12m,Website,Body Care,Tros,Deodorant & Body Spray,2,2.4,4.7,3.2,60.7,Unmapped,Unmapped,3.0,Low Risk,94.7,Strong
12m,Website,Skin Care,Biore,Sunscreen,1,1.6,2.0,2.0,60.0,Unmapped,Unmapped,3.0,Low Risk,94.7,Strong
12m,Website,Skin Care,AR,General Product,1,1.5,3.0,2.0,60.1,Unmapped,Unmapped,3.0,Low Risk,94.3,Strong
12m,Website,Oral Care,Oral-B,Toothpaste,4,9.0,9.2,11.6,64.0,Unmapped,Unmapped,2.9,Low Risk,93.6,Strong
12m,Website,Hair Care,Dove,Hair Conditioner & Treatment,3,8.4,8.1,10.8,63.5,Unmapped,Unmapped,2.9,Low Risk,93.1,Strong
12m,Website,Body Care,Rexona,Deodorant & Body Spray,3,6.3,7.7,8.2,62.6,Unmapped,Unmapped,2.9,Low Risk,94.0,Strong
12m,Website,Body Care,Vaseline,Deodorant & Body Spray,3,5.2,7.8,6.7,62.0,Unmapped,Unmapped,2.9,Low Risk,94.5,Strong
12m,Website,Oral Care,Ora2,Toothpaste,2,5.1,5.0,6.6,61.9,Unmapped,Unmapped,2.9,Low Risk,94.1,Strong
12m,Website,Oral Care,Sensodyne,Toothpaste,2,4.9,4.7,6.3,61.8,Unmapped,Unmapped,2.9,Low Risk,93.5,Strong
12m,Website,Hair Care,Pantene,General Product,2,3.5,4.5,4.5,61.2,Unmapped,Unmapped,2.9,Low Risk,94.9,Strong
12m,Website,Oral Care,Watsons,Interdental Brush,1,2.5,2.7,3.2,60.5,Unmapped,Unmapped,2.9,Low Risk,94.6,Strong
12m,Website,Skin Care,Vaseline,Body Scrub,1,2.5,3.0,3.3,60.7,Unmapped,Unmapped,2.9,Low Risk,94.6,Strong
12m,Website,Skin Care,Nexcare,General Product,1,2.1,2.6,2.8,60.4,Unmapped,Unmapped,2.9,Low Risk,94.1,Strong
12m,Website,Skin Care,Vaseline,Face Cleanser,1,2.1,2.1,2.7,59.6,Unmapped,Unmapped,2.9,Low Risk,93.3,Strong
12m,Website,Body Care,Axe,Deodorant & Body Spray,5,11.3,12.7,14.8,65.3,Unmapped,Unmapped,2.8,Low Risk,94.6,Strong
12m,Website,Hair Care,Tresemme,Hair Conditioner & Treatment,2,4.6,4.6,6.0,61.7,Unmapped,Unmapped,2.8,Low Risk,93.5,Strong
12m,Website,Lip,Sasi,Lip Care,1,0.9,1.7,1.2,59.8,Unmapped,Unmapped,2.8,Low Risk,95.2,Strong
12m,Website,Body Care,Vaseline,General Product,2,4.8,5.3,6.4,62.0,Unmapped,Unmapped,2.7,Low Risk,94.6,Strong
12m,Website,Body Care,Vaseline,Body Lotion,1,3.3,3.2,4.4,61.2,Unmapped,Unmapped,2.7,Low Risk,94.5,Strong
12m,Website,Body Care,Dove,General Product,1,2.7,2.7,3.6,60.9,Unmapped,Unmapped,2.7,Low Risk,95.3,Strong
12m,Website,Hair Care,Pantene,Hair Oil & Serum,1,2.4,2.3,3.2,60.7,Unmapped,Unmapped,2.6,Low Risk,95.0,Strong
12m,Website,Skin Care,Pair,General Product,1,2.4,2.5,3.2,60.7,Unmapped,Unmapped,2.6,Low Risk,96.5,Strong
12m,Website,Hair Care,Pantene,Shampoo,2,5.0,5.0,6.7,62.1,Unmapped,Unmapped,2.5,Low Risk,96.5,Strong
12m,Website,Home & Kitchen,Ambi Pur,Air Freshener,1,2.1,2.0,2.8,60.6,Unmapped,Unmapped,2.4,Low Risk,97.9,Strong
