public_product_id,marketplace,brand_group,category_group,product_group,listing_price_band,inventory_band,sales_index,units_index,fee_pct_of_gross,refund_pct_of_gross,promotion_pct_of_gross,net_to_gross_pct,margin_risk_score,margin_risk_band,revenue_quality_score,recommended_action,action_priority,action_reason
P1109,Amazon,Vaseline,Body Care,Body Wash,500-999,Very Low / 1-2,99.3,93.9,23.8,3.2,3.8,82.9,9.0,Low Risk,75.4,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0546,Amazon,Ora2,Oral Care,Toothpaste,500-999,Out of Stock / 0,98.9,93.5,23.8,2.9,3.7,84.0,9.0,Low Risk,76.2,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0529,Amazon,NEXCARE,Skin Care,General Product,500-999,Medium / 6-15,96.3,91.0,23.7,3.2,3.8,83.9,9.0,Low Risk,76.0,Monitor,Low,No action threshold triggered; continue monitoring.
P0581,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,500-999,Very Low / 1-2,94.9,89.6,23.8,3.7,3.5,82.7,9.0,Low Risk,75.1,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0022,Amazon,Ambi Pur,Home & Kitchen,Air Freshener,500-999,Low / 3-5,94.6,89.2,23.8,3.6,4.3,82.5,9.0,Low Risk,74.7,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0780,Amazon,Senka,Skin Care,Face Cleanser,500-999,Very Low / 1-2,93.0,87.6,23.6,4.0,3.7,83.4,9.0,Low Risk,75.1,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0543,Amazon,Ora2,Oral Care,Toothpaste,500-999,Out of Stock / 0,92.9,87.1,23.8,5.0,3.6,82.1,9.0,Low Risk,74.1,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0605,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,92.4,87.1,23.7,3.5,4.0,83.9,9.0,Low Risk,75.7,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0586,Amazon,Pantene,Hair Care,General Product,500-999,Medium / 6-15,91.7,86.5,23.7,3.6,4.1,82.8,9.0,Low Risk,74.6,Monitor,Low,No action threshold triggered; continue monitoring.
P1080,Amazon,Tresemme,Hair Care,Hair Conditioner & Treatment,500-999,Medium / 6-15,91.5,86.3,23.8,3.7,3.8,83.0,9.0,Low Risk,75.3,Monitor,Low,No action threshold triggered; continue monitoring.
P0342,Amazon,Fino,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,91.4,85.9,23.9,5.5,3.7,81.9,9.0,Low Risk,74.9,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0168,Amazon,Colgate,Oral Care,Toothpaste,500-999,Low / 3-5,90.9,85.7,23.6,3.2,4.2,82.1,9.0,Low Risk,74.8,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0042,Amazon,Axe,Body Care,Deodorant & Body Spray,500-999,Out of Stock / 0,89.6,84.5,24.0,3.6,3.7,82.7,9.0,Low Risk,74.7,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0783,Amazon,Senka,Skin Care,Face Cleanser,500-999,Out of Stock / 0,89.6,84.5,23.9,3.5,3.9,83.0,9.0,Low Risk,75.0,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0562,Amazon,Oral-B,Oral Care,Toothpaste,500-999,Out of Stock / 0,89.2,84.1,23.7,3.8,4.1,82.9,9.0,Low Risk,74.6,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0777,Amazon,Senka,Skin Care,Face Cleanser,500-999,Low / 3-5,89.0,84.3,23.9,3.6,4.0,82.3,9.0,Low Risk,74.9,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0590,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,88.7,83.9,23.8,3.5,3.8,83.5,9.0,Low Risk,75.2,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0029,Amazon,Axe,Body Care,Deodorant & Body Spray,500-999,Very Low / 1-2,86.5,81.4,23.6,4.9,4.1,81.7,9.0,Low Risk,74.1,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1146,Amazon,Vaseline,Body Care,General Product,500-999,Out of Stock / 0,86.3,81.2,23.8,3.0,3.8,84.4,9.0,Low Risk,75.9,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0554,Amazon,Oral-B,Oral Care,Dental Floss,500-999,Low / 3-5,86.2,80.8,23.8,3.0,4.0,83.5,9.0,Low Risk,75.2,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0260,Amazon,Dove,Hair Care,Hair Conditioner & Treatment,500-999,Low / 3-5,84.7,80.0,23.8,2.6,3.8,84.5,9.0,Low Risk,76.5,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0609,Amazon,Pantene,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,84.7,80.0,23.6,4.4,4.0,82.9,9.0,Low Risk,75.3,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1131,Amazon,Vaseline,Skin Care,Sunscreen,500-999,Out of Stock / 0,91.5,86.7,23.5,3.0,4.0,83.5,8.9,Low Risk,75.6,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0889,Flipkart,SHIVAMAX,Health & Wellness,Herbal Inhaler,<500,Very High / 51+,14.7,47.1,17.3,8.0,4.3,90.9,7.2,Low Risk,82.6,Monitor,Low,No action threshold triggered; continue monitoring.
P0475,Flipkart,Listerine,Oral Care,Mouthwash,<500,Low / 3-5,14.8,35.7,17.1,8.6,3.9,89.6,7.1,Low Risk,81.6,Monitor,Low,No action threshold triggered; continue monitoring.
P1071,Flipkart,Tiger Balm,Health & Wellness,Herbal Inhaler,<500,High / 16-50,14.6,40.4,17.3,5.7,3.9,92.6,7.1,Low Risk,83.9,Monitor,Low,No action threshold triggered; continue monitoring.
P1200,Flipkart,Watsons,Oral Care,Dental Floss,<500,Low / 3-5,12.8,35.5,17.4,6.7,4.0,91.4,7.1,Low Risk,83.5,Monitor,Low,No action threshold triggered; continue monitoring.
P0932,Flipkart,SHIVAMAX,Electronics & Travel Accessories,Travel Adapter,<500,Very High / 51+,11.8,38.0,17.6,4.1,4.2,94.2,7.1,Low Risk,85.8,Monitor,Low,No action threshold triggered; continue monitoring.
P0917,Flipkart,SHIVAMAX,Home & Kitchen,Adhesive Hooks,<500,Low / 3-5,10.7,34.7,17.5,4.9,4.1,93.9,7.1,Low Risk,84.8,Monitor,Low,No action threshold triggered; continue monitoring.
P1249,Flipkart,Watsons,Oral Care,Floss Picks,<500,Out of Stock / 0,14.8,41.0,17.1,3.4,4.0,93.8,7.0,Low Risk,84.5,Monitor,Low,No action threshold triggered; continue monitoring.
P1218,Flipkart,Watsons,Oral Care,Floss Picks,<500,Low / 3-5,13.5,37.1,17.2,5.7,4.4,92.3,7.0,Low Risk,85.0,Monitor,Low,No action threshold triggered; continue monitoring.
P1072,Flipkart,Tiger Balm,Health & Wellness,Herbal Inhaler,<500,High / 16-50,12.6,34.7,16.8,7.5,4.5,90.1,7.0,Low Risk,82.4,Monitor,Low,No action threshold triggered; continue monitoring.
P0927,Flipkart,SHIVAMAX,Home & Kitchen,Adhesive Hooks,<500,Medium / 6-15,10.6,41.0,17.8,0.9,3.8,97.8,7.0,Low Risk,88.4,Monitor,Low,No action threshold triggered; continue monitoring.
P0840,Flipkart,SHIVAMAX,Home & Kitchen,Adhesive Hooks,<500,Out of Stock / 0,19.7,38.2,16.7,7.7,4.2,88.9,6.9,Low Risk,82.3,Monitor,Low,No action threshold triggered; continue monitoring.
P0233,Flipkart,Counterpain,Health & Wellness,Pain Relief,<500,Out of Stock / 0,18.4,39.4,16.3,5.8,4.2,90.8,6.9,Low Risk,82.5,Monitor,Low,No action threshold triggered; continue monitoring.
P0868,Flipkart,SHIVAMAX,Home & Kitchen,General Product,<500,Medium / 6-15,17.7,40.0,16.5,6.6,4.1,89.8,6.9,Low Risk,81.7,Monitor,Low,No action threshold triggered; continue monitoring.
P1041,Flipkart,Sunsilk,Hair Care,Shampoo,<500,Out of Stock / 0,15.4,36.9,16.7,5.6,4.5,93.0,6.9,Low Risk,85.4,Monitor,Low,No action threshold triggered; continue monitoring.
P1070,Flipkart,Tiger Balm,Health & Wellness,Herbal Inhaler,<500,Medium / 6-15,15.2,41.8,17.0,6.2,4.2,92.1,6.9,Low Risk,84.4,Monitor,Low,No action threshold triggered; continue monitoring.
P0690,Flipkart,Protex,Body Care,General Product,<500,Very Low / 1-2,14.3,34.7,17.0,5.5,3.9,90.7,6.9,Low Risk,83.9,Monitor,Low,No action threshold triggered; continue monitoring.
P1164,Flipkart,Wangprom,Health & Wellness,Herbal Inhaler,<500,Out of Stock / 0,13.6,32.9,16.9,6.6,3.7,91.4,6.9,Low Risk,84.1,Monitor,Low,No action threshold triggered; continue monitoring.
P0536,Flipkart,NOVOLIFE,Health & Wellness,Herbal Inhaler,<500,Very Low / 1-2,12.2,39.2,17.1,4.6,3.8,93.9,6.9,Low Risk,86.6,Monitor,Low,No action threshold triggered; continue monitoring.
P0271,Flipkart,Dove,Hair Care,General Product,<500,Out of Stock / 0,22.3,43.1,16.4,6.2,4.0,90.5,6.8,Low Risk,83.3,Monitor,Low,No action threshold triggered; continue monitoring.
P1196,Flipkart,Watsons,Oral Care,Floss Picks,<500,Very Low / 1-2,18.7,34.3,16.6,6.3,4.3,90.7,6.8,Low Risk,83.9,Monitor,Low,No action threshold triggered; continue monitoring.
P1038,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,<500,Out of Stock / 0,17.6,42.2,16.5,5.2,4.1,93.1,6.8,Low Risk,85.6,Monitor,Low,No action threshold triggered; continue monitoring.
P1032,Flipkart,Sunsilk,Hair Care,Shampoo,<500,High / 16-50,15.1,36.5,16.6,4.3,4.5,93.5,6.8,Low Risk,86.2,Monitor,Low,No action threshold triggered; continue monitoring.
P0427,Flipkart,Kaowmanee,Skin Care,General Product,<500,Out of Stock / 0,12.0,32.2,16.8,4.9,4.0,91.9,6.8,Low Risk,84.4,Monitor,Low,No action threshold triggered; continue monitoring.
P0915,Flipkart,SHIVAMAX,Health & Wellness,Herbal Inhaler,<500,Medium / 6-15,11.4,36.5,17.0,2.5,4.0,97.6,6.8,Low Risk,87.8,Monitor,Low,No action threshold triggered; continue monitoring.
P0753,Flipkart,Rexona,Body Care,Deodorant & Body Spray,500-999,Out of Stock / 0,30.5,36.5,15.9,8.2,4.5,85.4,6.7,Low Risk,80.4,Monitor,Low,No action threshold triggered; continue monitoring.
P0555,Flipkart,Oral-B,Oral Care,Dental Floss,<500,Medium / 6-15,20.8,40.0,16.3,5.9,4.3,90.1,6.7,Low Risk,83.9,Monitor,Low,No action threshold triggered; continue monitoring.
P0261,Flipkart,Dove,Hair Care,General Product,<500,Very High / 51+,20.3,39.0,16.2,5.4,4.0,90.6,6.7,Low Risk,83.6,Monitor,Low,No action threshold triggered; continue monitoring.
P0763,Flipkart,Sasi,Lip,Lip Care,<500,Medium / 6-15,18.9,36.3,16.4,5.7,3.5,90.2,6.7,Low Risk,83.5,Monitor,Low,No action threshold triggered; continue monitoring.
P0308,Flipkart,Dove,Hair Care,General Product,<500,Out of Stock / 0,18.5,35.5,16.2,5.7,4.0,91.4,6.7,Low Risk,83.7,Monitor,Low,No action threshold triggered; continue monitoring.
P0257,Flipkart,Dove,Hair Care,General Product,<500,Low / 3-5,17.5,37.3,16.4,4.0,4.3,92.0,6.7,Low Risk,85.2,Monitor,Low,No action threshold triggered; continue monitoring.
P0706,Flipkart,Protex,Body Care,General Product,<500,Out of Stock / 0,17.0,36.3,16.4,4.2,4.0,92.1,6.7,Low Risk,85.1,Monitor,Low,No action threshold triggered; continue monitoring.
P1100,Flipkart,Tros,Body Care,Deodorant & Body Spray,<500,Very Low / 1-2,15.8,30.6,16.3,6.1,4.2,90.3,6.7,Low Risk,84.6,Monitor,Low,No action threshold triggered; continue monitoring.
P1251,Flipkart,Watsons,Oral Care,Floss Picks,<500,Out of Stock / 0,14.1,38.8,16.6,4.6,4.1,94.7,6.7,Low Risk,86.6,Monitor,Low,No action threshold triggered; continue monitoring.
P1214,Flipkart,Watsons,Oral Care,Floss Picks,<500,Very Low / 1-2,13.8,38.2,16.5,5.0,4.0,95.3,6.7,Low Risk,87.4,Monitor,Low,No action threshold triggered; continue monitoring.
P1026,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,<500,Low / 3-5,13.7,33.9,16.4,3.3,4.1,94.1,6.7,Low Risk,85.7,Monitor,Low,No action threshold triggered; continue monitoring.
P0915,Meesho,SHIVAMAX,Health & Wellness,Herbal Inhaler,<500,Medium / 6-15,10.6,35.9,15.6,7.2,4.2,93.7,6.7,Low Risk,84.2,Monitor,Low,No action threshold triggered; continue monitoring.
P0536,Meesho,NOVOLIFE,Health & Wellness,Herbal Inhaler,<500,Very Low / 1-2,9.0,30.4,16.0,8.4,3.4,93.7,6.7,Low Risk,84.3,Monitor,Low,No action threshold triggered; continue monitoring.
P0797,Flipkart,Sensodyne,Oral Care,Toothpaste,500-999,Low / 3-5,41.2,39.6,15.7,9.0,4.0,86.1,6.6,Low Risk,80.5,Monitor,Low,No action threshold triggered; continue monitoring.
P1069,Flipkart,Tiger Balm,Health & Wellness,Pain Relief,500-999,Medium / 6-15,32.3,34.5,15.7,9.6,4.2,85.2,6.6,Low Risk,80.3,Monitor,Low,No action threshold triggered; continue monitoring.
P0931,Flipkart,SHIVAMAX,Electronics & Travel Accessories,General Product,<500,Out of Stock / 0,26.9,43.5,15.8,8.3,4.3,87.4,6.6,Low Risk,81.9,Monitor,Low,No action threshold triggered; continue monitoring.
P1185,Flipkart,Watsons,Oral Care,Floss Picks,<500,Low / 3-5,21.7,40.0,15.9,5.8,4.0,91.7,6.6,Low Risk,84.6,Monitor,Low,No action threshold triggered; continue monitoring.
P0024,Flipkart,AR,Skin Care,General Product,<500,Out of Stock / 0,19.6,37.6,16.2,5.0,3.7,91.8,6.6,Low Risk,84.6,Monitor,Low,No action threshold triggered; continue monitoring.
P0531,Flipkart,NEXCARE,Skin Care,General Product,<500,Medium / 6-15,19.1,36.9,15.9,4.9,4.2,91.4,6.6,Low Risk,84.3,Monitor,Low,No action threshold triggered; continue monitoring.
P0595,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,<500,Out of Stock / 0,18.7,35.9,15.9,6.1,4.0,91.1,6.6,Low Risk,84.7,Monitor,Low,No action threshold triggered; continue monitoring.
P0705,Flipkart,Protex,Body Care,General Product,<500,Very Low / 1-2,18.6,40.0,16.5,1.6,4.3,94.7,6.6,Low Risk,87.9,Monitor,Low,No action threshold triggered; continue monitoring.
P0557,Flipkart,Oral-B,Oral Care,Dental Floss,<500,High / 16-50,18.5,37.6,16.3,4.7,3.7,92.4,6.6,Low Risk,84.7,Monitor,Low,No action threshold triggered; continue monitoring.
P0720,Flipkart,Protex,Body Care,General Product,<500,Very Low / 1-2,16.2,39.2,16.3,2.6,4.1,95.0,6.6,Low Risk,87.3,Monitor,Low,No action threshold triggered; continue monitoring.
P1035,Flipkart,Sunsilk,Hair Care,Shampoo,<500,High / 16-50,15.8,37.8,16.3,3.0,4.2,94.5,6.6,Low Risk,86.9,Monitor,Low,No action threshold triggered; continue monitoring.
P1052,Flipkart,Sunsilk,Hair Care,Shampoo,<500,Out of Stock / 0,14.0,33.7,16.4,3.3,3.3,95.8,6.6,Low Risk,87.9,Monitor,Low,No action threshold triggered; continue monitoring.
P0260,Flipkart,Dove,Hair Care,Hair Conditioner & Treatment,500-999,Low / 3-5,40.0,38.6,15.6,6.6,4.1,87.7,6.5,Low Risk,81.7,Monitor,Low,No action threshold triggered; continue monitoring.
P0590,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,40.0,38.6,15.6,9.0,4.1,85.9,6.5,Low Risk,81.5,Monitor,Low,No action threshold triggered; continue monitoring.
P0279,Flipkart,Dove,Body Care,General Product,500-999,Out of Stock / 0,40.0,38.4,15.4,5.8,4.4,87.5,6.5,Low Risk,81.0,Monitor,Low,No action threshold triggered; continue monitoring.
P1157,Flipkart,Vaseline,Skin Care,Face Cleanser,500-999,Out of Stock / 0,37.2,37.8,15.5,7.2,3.7,88.0,6.5,Low Risk,82.1,Monitor,Low,No action threshold triggered; continue monitoring.
P1131,Flipkart,Vaseline,Skin Care,Sunscreen,500-999,Out of Stock / 0,37.0,35.5,15.4,6.1,4.5,89.0,6.5,Low Risk,82.7,Monitor,Low,No action threshold triggered; continue monitoring.
P0617,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,36.4,35.1,15.3,6.3,4.3,89.5,6.5,Low Risk,83.1,Monitor,Low,No action threshold triggered; continue monitoring.
P0534,Flipkart,Nexcare,Skin Care,General Product,500-999,Low / 3-5,33.6,40.4,15.6,5.6,4.1,88.9,6.5,Low Risk,82.9,Monitor,Low,No action threshold triggered; continue monitoring.
P0744,Flipkart,Rexona,Body Care,Deodorant & Body Spray,500-999,Out of Stock / 0,32.5,39.0,15.5,5.2,4.1,89.9,6.5,Low Risk,83.1,Monitor,Low,No action threshold triggered; continue monitoring.
P1120,Flipkart,Vaseline,Skin Care,Body Scrub,500-999,Very Low / 1-2,31.7,38.2,15.7,8.3,3.9,87.9,6.5,Low Risk,82.1,Monitor,Low,No action threshold triggered; continue monitoring.
P0082,Flipkart,Biore,Skin Care,Sunscreen,500-999,Very High / 51+,28.4,36.3,15.6,4.4,4.7,90.8,6.5,Low Risk,84.4,Monitor,Low,No action threshold triggered; continue monitoring.
P0225,Flipkart,Colgate,Oral Care,Toothpaste,<500,Out of Stock / 0,22.2,45.1,15.8,4.1,4.1,93.5,6.5,Low Risk,86.4,Monitor,Low,No action threshold triggered; continue monitoring.
P0890,Flipkart,SHIVAMAX,Health & Wellness,Herbal Inhaler,<500,Medium / 6-15,21.4,41.2,15.9,3.7,4.5,93.0,6.5,Low Risk,86.6,Monitor,Low,No action threshold triggered; continue monitoring.
P0212,Flipkart,Colgate,Oral Care,Toothpaste,500-999,Out of Stock / 0,20.0,35.5,15.8,6.8,4.5,89.1,6.5,Low Risk,83.3,Monitor,Low,No action threshold triggered; continue monitoring.
P1254,Flipkart,Watsons,Oral Care,Dental Floss,<500,Out of Stock / 0,19.8,38.0,16.0,5.1,3.9,91.6,6.5,Low Risk,85.4,Monitor,Low,No action threshold triggered; continue monitoring.
P0476,Flipkart,Listerine,Oral Care,Mouthwash,500-999,Out of Stock / 0,19.8,35.5,16.0,5.2,4.2,90.9,6.5,Low Risk,84.2,Monitor,Low,No action threshold triggered; continue monitoring.
P1112,Flipkart,Vaseline,Body Care,Deodorant & Body Spray,<500,Very Low / 1-2,19.7,37.8,15.9,3.5,4.3,93.5,6.5,Low Risk,86.2,Monitor,Low,No action threshold triggered; continue monitoring.
P1033,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,<500,Out of Stock / 0,19.0,36.7,16.2,5.0,4.0,93.0,6.5,Low Risk,86.3,Monitor,Low,No action threshold triggered; continue monitoring.
P1039,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,<500,Out of Stock / 0,18.8,38.2,15.8,3.6,3.7,93.3,6.5,Low Risk,85.8,Monitor,Low,No action threshold triggered; continue monitoring.
P0170,Flipkart,Colgate,Oral Care,Toothpaste,<500,Low / 3-5,17.9,34.5,15.9,3.9,3.9,93.0,6.5,Low Risk,85.2,Monitor,Low,No action threshold triggered; continue monitoring.
P0253,Flipkart,Dove,Hair Care,General Product,<500,Out of Stock / 0,17.7,33.9,15.9,5.8,3.2,90.8,6.5,Low Risk,83.2,Monitor,Low,No action threshold triggered; continue monitoring.
P0262,Flipkart,Dove,Hair Care,Hair Oil & Serum,<500,Out of Stock / 0,17.3,33.3,16.0,2.3,4.6,92.6,6.5,Low Risk,86.0,Monitor,Low,No action threshold triggered; continue monitoring.
P0278,Flipkart,Dove,Hair Care,Shampoo,<500,Out of Stock / 0,16.9,32.7,16.1,3.7,3.8,93.2,6.5,Low Risk,86.0,Monitor,Low,No action threshold triggered; continue monitoring.
P0598,Flipkart,Pantene,Hair Care,General Product,<500,Out of Stock / 0,16.8,32.7,16.0,3.6,4.5,92.9,6.5,Low Risk,85.9,Monitor,Low,No action threshold triggered; continue monitoring.
P1029,Flipkart,Sunsilk,Hair Care,Shampoo,<500,High / 16-50,16.3,39.4,16.1,2.9,3.9,94.8,6.5,Low Risk,87.2,Monitor,Low,No action threshold triggered; continue monitoring.
P0679,Flipkart,Poy Sian,Health & Wellness,Herbal Inhaler,<500,Medium / 6-15,13.4,32.4,16.2,4.0,3.6,93.8,6.5,Low Risk,87.0,Monitor,Low,No action threshold triggered; continue monitoring.
P0917,Meesho,SHIVAMAX,Home & Kitchen,Adhesive Hooks,<500,Low / 3-5,8.1,27.3,15.4,6.1,3.8,95.1,6.5,Low Risk,84.9,Monitor,Low,No action threshold triggered; continue monitoring.
P0889,Meesho,SHIVAMAX,Health & Wellness,Herbal Inhaler,<500,Very High / 51+,7.4,25.3,15.7,3.9,4.2,95.7,6.5,Low Risk,87.1,Monitor,Low,No action threshold triggered; continue monitoring.
P0927,Meesho,SHIVAMAX,Home & Kitchen,Adhesive Hooks,<500,Medium / 6-15,6.5,26.3,15.6,5.3,4.2,96.9,6.5,Low Risk,86.3,Monitor,Low,No action threshold triggered; continue monitoring.
P0610,Flipkart,Pantene,Hair Care,Hair Oil & Serum,500-999,Out of Stock / 0,40.0,38.4,15.4,8.9,3.7,86.8,6.4,Low Risk,81.6,Monitor,Low,No action threshold triggered; continue monitoring.
P0172,Flipkart,Colgate,Oral Care,Toothpaste,500-999,Very Low / 1-2,38.8,37.3,15.2,5.0,4.2,89.5,6.4,Low Risk,83.3,Monitor,Low,No action threshold triggered; continue monitoring.
P0604,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,38.0,38.6,15.2,4.9,4.1,89.8,6.4,Low Risk,83.1,Monitor,Low,No action threshold triggered; continue monitoring.
P1109,Flipkart,Vaseline,Body Care,Body Wash,500-999,Very Low / 1-2,34.8,34.1,15.4,4.8,4.5,90.0,6.4,Low Risk,84.2,Monitor,Low,No action threshold triggered; continue monitoring.
P0235,Flipkart,Counterpain,Health & Wellness,Pain Relief,500-999,Low / 3-5,34.7,36.9,15.5,5.6,3.7,91.8,6.4,Low Risk,84.6,Monitor,Low,No action threshold triggered; continue monitoring.
P1162,Flipkart,Vita Keratin,Hair Care,General Product,500-999,Out of Stock / 0,34.3,34.9,15.6,7.2,4.0,88.0,6.4,Low Risk,83.4,Monitor,Low,No action threshold triggered; continue monitoring.
P0264,Flipkart,Dove,Body Care,Deodorant & Body Spray,500-999,High / 16-50,33.8,41.6,15.5,5.2,3.8,89.9,6.4,Low Risk,83.8,Monitor,Low,No action threshold triggered; continue monitoring.
P0156,Flipkart,Colgate,Oral Care,Toothpaste,500-999,Very High / 51+,32.1,34.5,15.9,5.3,3.8,89.7,6.4,Low Risk,84.5,Monitor,Low,No action threshold triggered; continue monitoring.
P0034,Flipkart,Axe,Body Care,Deodorant & Body Spray,500-999,Very Low / 1-2,29.5,40.6,15.8,4.1,4.0,91.6,6.4,Low Risk,85.6,Monitor,Low,No action threshold triggered; continue monitoring.
P0178,Flipkart,Colgate,Oral Care,Toothpaste,500-999,Low / 3-5,26.8,38.8,15.6,5.6,4.2,89.3,6.4,Low Risk,84.2,Monitor,Low,No action threshold triggered; continue monitoring.
P0270,Flipkart,Dove,Hair Care,Hair Oil & Serum,<500,Very High / 51+,21.9,42.0,15.7,2.3,4.1,95.6,6.4,Low Risk,88.3,Monitor,Low,No action threshold triggered; continue monitoring.
P1190,Flipkart,Watsons,Oral Care,Dental Floss,<500,Low / 3-5,21.5,39.6,15.9,3.0,3.8,94.3,6.4,Low Risk,87.5,Monitor,Low,No action threshold triggered; continue monitoring.
P1248,Flipkart,Watsons,Skin Care,Lip Care,<500,Out of Stock / 0,19.4,37.3,15.9,3.0,3.8,93.5,6.4,Low Risk,87.4,Monitor,Low,No action threshold triggered; continue monitoring.
P1099,Flipkart,Tros,Body Care,Deodorant & Body Spray,<500,Out of Stock / 0,18.9,36.5,15.7,4.6,3.8,92.0,6.4,Low Risk,85.1,Monitor,Low,No action threshold triggered; continue monitoring.
P0944,Flipkart,SHIVAMAX,Health & Wellness,Herbal Inhaler,<500,Out of Stock / 0,18.9,36.3,16.0,5.4,3.6,92.3,6.4,Low Risk,86.5,Monitor,Low,No action threshold triggered; continue monitoring.
P0259,Flipkart,Dove,Hair Care,General Product,<500,Very High / 51+,17.5,35.5,15.9,3.3,3.3,94.0,6.4,Low Risk,86.2,Monitor,Low,No action threshold triggered; continue monitoring.
P1003,Flipkart,Snake Brand,Body Care,General Product,<500,Out of Stock / 0,17.1,36.5,16.1,1.7,3.4,96.3,6.4,Low Risk,88.9,Monitor,Low,No action threshold triggered; continue monitoring.
P1029,Meesho,Sunsilk,Hair Care,Shampoo,<500,High / 16-50,12.6,32.0,14.9,9.3,4.3,90.0,6.4,Low Risk,83.6,Monitor,Low,No action threshold triggered; continue monitoring.
P1072,Meesho,Tiger Balm,Health & Wellness,Herbal Inhaler,<500,High / 16-50,9.7,28.2,15.3,5.9,4.0,91.9,6.4,Low Risk,84.8,Monitor,Low,No action threshold triggered; continue monitoring.
P1214,Meesho,Watsons,Oral Care,Floss Picks,<500,Very Low / 1-2,9.1,26.3,15.1,4.6,4.3,94.9,6.4,Low Risk,86.0,Monitor,Low,No action threshold triggered; continue monitoring.
P0780,Flipkart,Senka,Skin Care,Face Cleanser,500-999,Very Low / 1-2,43.8,42.0,15.1,4.3,4.4,91.0,6.3,Low Risk,84.4,Monitor,Low,No action threshold triggered; continue monitoring.
P0553,Flipkart,Oral-B,Oral Care,Toothpaste,500-999,Medium / 6-15,43.6,41.8,15.4,6.2,3.8,89.4,6.3,Low Risk,83.7,Monitor,Low,No action threshold triggered; continue monitoring.
P0554,Flipkart,Oral-B,Oral Care,Dental Floss,500-999,Low / 3-5,43.1,41.4,15.3,4.9,3.8,90.9,6.3,Low Risk,84.4,Monitor,Low,No action threshold triggered; continue monitoring.
P1121,Flipkart,Vaseline,Body Care,Body Wash,500-999,Very Low / 1-2,42.7,40.8,15.5,6.0,3.8,89.3,6.3,Low Risk,84.3,Monitor,Low,No action threshold triggered; continue monitoring.
P0546,Flipkart,Ora2,Oral Care,Toothpaste,500-999,Out of Stock / 0,42.5,40.8,15.2,2.9,4.8,91.4,6.3,Low Risk,85.0,Monitor,Low,No action threshold triggered; continue monitoring.
P1080,Flipkart,Tresemme,Hair Care,Hair Conditioner & Treatment,500-999,Medium / 6-15,41.6,40.0,15.2,5.0,3.8,90.6,6.3,Low Risk,84.4,Monitor,Low,No action threshold triggered; continue monitoring.
P0813,Flipkart,Sensodyne,Oral Care,Toothpaste,500-999,Out of Stock / 0,40.2,38.8,15.3,6.2,3.7,89.8,6.3,Low Risk,84.5,Monitor,Low,No action threshold triggered; continue monitoring.
P0922,Flipkart,SHIVAMAX,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,40.1,39.8,15.2,4.4,3.8,90.2,6.3,Low Risk,84.1,Monitor,Low,No action threshold triggered; continue monitoring.
P0586,Flipkart,Pantene,Hair Care,General Product,500-999,Medium / 6-15,39.8,38.2,15.2,6.9,3.8,88.7,6.3,Low Risk,83.3,Monitor,Low,No action threshold triggered; continue monitoring.
P0342,Flipkart,Fino,Hair Care,Hair Conditioner & Treatment,500-999,Out of Stock / 0,38.5,36.9,15.1,4.0,4.9,89.8,6.3,Low Risk,83.6,Monitor,Low,No action threshold triggered; continue monitoring.
