public_product_id,marketplace,brand_group,category_group,product_group,inventory_band,units_index,sales_index,margin_risk_band,revenue_quality_band,restock_priority,recommended_action,action_priority,action_reason
P0225,Flipkart,Colgate,Oral Care,Toothpaste,Out of Stock / 0,45.1,22.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0581,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,Very Low / 1-2,44.1,45.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0931,Flipkart,SHIVAMAX,Electronics & Travel Accessories,General Product,Out of Stock / 0,43.5,26.9,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0271,Flipkart,Dove,Hair Care,General Product,Out of Stock / 0,43.1,22.3,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0039,Flipkart,Axe,Body Care,Deodorant & Body Spray,Out of Stock / 0,42.7,29.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1044,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,42.4,43.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1114,Flipkart,Vaseline,Body Care,Deodorant & Body Spray,Low / 3-5,42.2,30.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1038,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,42.2,17.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0780,Flipkart,Senka,Skin Care,Face Cleanser,Very Low / 1-2,42.0,43.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0270,Flipkart,Dove,Hair Care,Hair Oil & Serum,Very High / 51+,42.0,21.9,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0553,Flipkart,Oral-B,Oral Care,Toothpaste,Medium / 6-15,41.8,43.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1070,Flipkart,Tiger Balm,Health & Wellness,Herbal Inhaler,Medium / 6-15,41.8,15.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0264,Flipkart,Dove,Body Care,Deodorant & Body Spray,High / 16-50,41.6,33.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0554,Flipkart,Oral-B,Oral Care,Dental Floss,Low / 3-5,41.4,43.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0548,Flipkart,Oral-B,Oral Care,Toothpaste,Medium / 6-15,41.4,40.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0890,Flipkart,SHIVAMAX,Health & Wellness,Herbal Inhaler,Medium / 6-15,41.2,21.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0168,Flipkart,Colgate,Oral Care,Toothpaste,Low / 3-5,41.0,42.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1150,Flipkart,Vaseline,Body Care,Deodorant & Body Spray,Out of Stock / 0,41.0,29.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1249,Flipkart,Watsons,Oral Care,Floss Picks,Out of Stock / 0,41.0,14.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0927,Flipkart,SHIVAMAX,Home & Kitchen,Adhesive Hooks,Medium / 6-15,41.0,10.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1121,Flipkart,Vaseline,Body Care,Body Wash,Very Low / 1-2,40.8,42.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0546,Flipkart,Ora2,Oral Care,Toothpaste,Out of Stock / 0,40.8,42.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0529,Flipkart,NEXCARE,Skin Care,General Product,Medium / 6-15,40.8,42.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1105,Flipkart,Vaseline,Body Care,Body Wash,Low / 3-5,40.8,42.3,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0034,Flipkart,Axe,Body Care,Deodorant & Body Spray,Very Low / 1-2,40.6,29.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0781,Flipkart,Senka,Skin Care,Face Cleanser,Out of Stock / 0,40.4,41.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0534,Flipkart,Nexcare,Skin Care,General Product,Low / 3-5,40.4,33.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1107,Flipkart,Vaseline,Body Care,General Product,Very Low / 1-2,40.4,29.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1071,Flipkart,Tiger Balm,Health & Wellness,Herbal Inhaler,High / 16-50,40.4,14.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0573,Flipkart,Pantene,Hair Care,Shampoo,Very Low / 1-2,40.2,41.9,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1080,Flipkart,Tresemme,Hair Care,Hair Conditioner & Treatment,Medium / 6-15,40.0,41.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1185,Flipkart,Watsons,Oral Care,Floss Picks,Low / 3-5,40.0,21.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0555,Flipkart,Oral-B,Oral Care,Dental Floss,Medium / 6-15,40.0,20.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0705,Flipkart,Protex,Body Care,General Product,Very Low / 1-2,40.0,18.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0868,Flipkart,SHIVAMAX,Home & Kitchen,General Product,Medium / 6-15,40.0,17.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0042,Flipkart,Axe,Body Care,Deodorant & Body Spray,Out of Stock / 0,39.8,41.3,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0029,Flipkart,Axe,Body Care,Deodorant & Body Spray,Very Low / 1-2,39.8,41.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0922,Flipkart,SHIVAMAX,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,39.8,40.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0797,Flipkart,Sensodyne,Oral Care,Toothpaste,Low / 3-5,39.6,41.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1043,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,39.6,39.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1190,Flipkart,Watsons,Oral Care,Dental Floss,Low / 3-5,39.6,21.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0175,Flipkart,Colgate,Oral Care,Toothpaste,Medium / 6-15,39.4,32.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0233,Flipkart,Counterpain,Health & Wellness,Pain Relief,Out of Stock / 0,39.4,18.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1029,Flipkart,Sunsilk,Hair Care,Shampoo,High / 16-50,39.4,16.3,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0720,Flipkart,Protex,Body Care,General Product,Very Low / 1-2,39.2,16.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0536,Flipkart,NOVOLIFE,Health & Wellness,Herbal Inhaler,Very Low / 1-2,39.2,12.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0566,Flipkart,Pantene,Hair Care,Shampoo,Very Low / 1-2,39.0,38.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1067,Flipkart,Tiger Balm,Health & Wellness,Pain Relief,Medium / 6-15,39.0,36.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0744,Flipkart,Rexona,Body Care,Deodorant & Body Spray,Out of Stock / 0,39.0,32.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0261,Flipkart,Dove,Hair Care,General Product,Very High / 51+,39.0,20.3,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0813,Flipkart,Sensodyne,Oral Care,Toothpaste,Out of Stock / 0,38.8,40.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1237,Flipkart,Watsons,Oral Care,Interdental Brush,Out of Stock / 0,38.8,36.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0178,Flipkart,Colgate,Oral Care,Toothpaste,Low / 3-5,38.8,26.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1251,Flipkart,Watsons,Oral Care,Floss Picks,Out of Stock / 0,38.8,14.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0260,Flipkart,Dove,Hair Care,Hair Conditioner & Treatment,Low / 3-5,38.6,40.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0590,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,38.6,40.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0604,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,38.6,38.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0563,Flipkart,Oral-B,Oral Care,Toothpaste,Out of Stock / 0,38.6,31.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0279,Flipkart,Dove,Body Care,General Product,Out of Stock / 0,38.4,40.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0610,Flipkart,Pantene,Hair Care,Hair Oil & Serum,Out of Stock / 0,38.4,40.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0562,Flipkart,Oral-B,Oral Care,Toothpaste,Out of Stock / 0,38.2,40.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0586,Flipkart,Pantene,Hair Care,General Product,Medium / 6-15,38.2,39.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1120,Flipkart,Vaseline,Skin Care,Body Scrub,Very Low / 1-2,38.2,31.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0840,Flipkart,SHIVAMAX,Home & Kitchen,Adhesive Hooks,Out of Stock / 0,38.2,19.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1039,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,38.2,18.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0770,Flipkart,Sasi,Skin Care,General Product,Medium / 6-15,38.2,17.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1214,Flipkart,Watsons,Oral Care,Floss Picks,Very Low / 1-2,38.2,13.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0252,Flipkart,Dove,Hair Care,Hair Conditioner & Treatment,Low / 3-5,38.0,39.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1048,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,38.0,39.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0437,Flipkart,L'Oreal Paris,Skin Care,Face Cleanser,Very High / 51+,38.0,31.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0747,Flipkart,Rexona,Body Care,Deodorant & Body Spray,Out of Stock / 0,38.0,31.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1254,Flipkart,Watsons,Oral Care,Dental Floss,Out of Stock / 0,38.0,19.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0932,Flipkart,SHIVAMAX,Electronics & Travel Accessories,Travel Adapter,Very High / 51+,38.0,11.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0609,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,37.8,39.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0906,Flipkart,SHIVAMAX,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,37.8,39.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1157,Flipkart,Vaseline,Skin Care,Face Cleanser,Out of Stock / 0,37.8,37.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1112,Flipkart,Vaseline,Body Care,Deodorant & Body Spray,Very Low / 1-2,37.8,19.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1035,Flipkart,Sunsilk,Hair Care,Shampoo,High / 16-50,37.8,15.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0024,Flipkart,AR,Skin Care,General Product,Out of Stock / 0,37.6,19.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0557,Flipkart,Oral-B,Oral Care,Dental Floss,High / 16-50,37.6,18.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0543,Flipkart,Ora2,Oral Care,Toothpaste,Out of Stock / 0,37.3,38.9,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0172,Flipkart,Colgate,Oral Care,Toothpaste,Very Low / 1-2,37.3,38.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0218,Flipkart,Colgate,Oral Care,Toothpaste,Out of Stock / 0,37.3,33.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1248,Flipkart,Watsons,Skin Care,Lip Care,Out of Stock / 0,37.3,19.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0257,Flipkart,Dove,Hair Care,General Product,Low / 3-5,37.3,17.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1218,Flipkart,Watsons,Oral Care,Floss Picks,Low / 3-5,37.1,13.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0342,Flipkart,Fino,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,36.9,38.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0230,Flipkart,Counterpain,Health & Wellness,Pain Relief,Out of Stock / 0,36.9,38.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0235,Flipkart,Counterpain,Health & Wellness,Pain Relief,Low / 3-5,36.9,34.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0531,Flipkart,NEXCARE,Skin Care,General Product,Medium / 6-15,36.9,19.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1041,Flipkart,Sunsilk,Hair Care,Shampoo,Out of Stock / 0,36.9,15.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0022,Flipkart,Ambi Pur,Home & Kitchen,Air Freshener,Low / 3-5,36.7,38.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0565,Flipkart,Pair,Skin Care,General Product,Out of Stock / 0,36.7,36.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1033,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,36.7,19.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0594,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,36.5,38.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1075,Flipkart,Tresemme,Hair Care,Shampoo,Very Low / 1-2,36.5,37.9,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0753,Flipkart,Rexona,Body Care,Deodorant & Body Spray,Out of Stock / 0,36.5,30.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1099,Flipkart,Tros,Body Care,Deodorant & Body Spray,Out of Stock / 0,36.5,18.9,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1003,Flipkart,Snake Brand,Body Care,General Product,Out of Stock / 0,36.5,17.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1032,Flipkart,Sunsilk,Hair Care,Shampoo,High / 16-50,36.5,15.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0915,Flipkart,SHIVAMAX,Health & Wellness,Herbal Inhaler,Medium / 6-15,36.5,11.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1146,Flipkart,Vaseline,Body Care,General Product,Out of Stock / 0,36.3,37.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1085,Flipkart,Tresemme,Hair Care,Hair Conditioner & Treatment,Medium / 6-15,36.3,35.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0082,Flipkart,Biore,Skin Care,Sunscreen,Very High / 51+,36.3,28.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0763,Flipkart,Sasi,Lip,Lip Care,Medium / 6-15,36.3,18.9,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0944,Flipkart,SHIVAMAX,Health & Wellness,Herbal Inhaler,Out of Stock / 0,36.3,18.9,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0278,Meesho,Dove,Hair Care,Shampoo,Out of Stock / 0,36.3,17.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0706,Flipkart,Protex,Body Care,General Product,Out of Stock / 0,36.3,17.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0795,Flipkart,Senka,Skin Care,Face Cleanser,Out of Stock / 0,36.1,37.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0783,Flipkart,Senka,Skin Care,Face Cleanser,Out of Stock / 0,36.1,37.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0604,Meesho,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,36.1,33.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0595,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,35.9,18.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0595,Meesho,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,35.9,17.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0915,Meesho,SHIVAMAX,Health & Wellness,Herbal Inhaler,Medium / 6-15,35.9,10.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0602,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,35.7,37.3,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1156,Flipkart,Vaseline,Body Care,Body Lotion,Out of Stock / 0,35.7,37.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0528,Flipkart,NEXCARE,Skin Care,General Product,Out of Stock / 0,35.7,27.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0475,Flipkart,Listerine,Oral Care,Mouthwash,Low / 3-5,35.7,14.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1131,Flipkart,Vaseline,Skin Care,Sunscreen,Out of Stock / 0,35.5,37.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0777,Flipkart,Senka,Skin Care,Face Cleanser,Low / 3-5,35.5,36.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0212,Flipkart,Colgate,Oral Care,Toothpaste,Out of Stock / 0,35.5,20.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0476,Flipkart,Listerine,Oral Care,Mouthwash,Out of Stock / 0,35.5,19.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0308,Flipkart,Dove,Hair Care,General Product,Out of Stock / 0,35.5,18.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0259,Flipkart,Dove,Hair Care,General Product,Very High / 51+,35.5,17.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1200,Flipkart,Watsons,Oral Care,Dental Floss,Low / 3-5,35.5,12.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1042,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,35.1,36.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0617,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,35.1,36.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0246,Flipkart,Dove,Body Care,Deodorant & Body Spray,Medium / 6-15,35.1,27.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1162,Flipkart,Vita Keratin,Hair Care,General Product,Out of Stock / 0,34.9,34.3,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0690,Flipkart,Protex,Body Care,General Product,Very Low / 1-2,34.7,14.3,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1072,Flipkart,Tiger Balm,Health & Wellness,Herbal Inhaler,High / 16-50,34.7,12.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0917,Flipkart,SHIVAMAX,Home & Kitchen,Adhesive Hooks,Low / 3-5,34.7,10.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0041,Flipkart,Axe,Body Care,Deodorant & Body Spray,Out of Stock / 0,34.5,36.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1069,Flipkart,Tiger Balm,Health & Wellness,Pain Relief,Medium / 6-15,34.5,32.3,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0156,Flipkart,Colgate,Oral Care,Toothpaste,Very High / 51+,34.5,32.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0170,Flipkart,Colgate,Oral Care,Toothpaste,Low / 3-5,34.5,17.9,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0944,Meesho,SHIVAMAX,Health & Wellness,Herbal Inhaler,Out of Stock / 0,34.5,17.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0547,Flipkart,Oral-B,Oral Care,Dental Floss,Low / 3-5,34.3,35.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1196,Flipkart,Watsons,Oral Care,Floss Picks,Very Low / 1-2,34.3,18.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0488,Flipkart,Listerine,Oral Care,Mouthwash,Out of Stock / 0,34.1,35.4,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1109,Flipkart,Vaseline,Body Care,Body Wash,Very Low / 1-2,34.1,34.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0253,Flipkart,Dove,Hair Care,General Product,Out of Stock / 0,33.9,17.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1026,Flipkart,Sunsilk,Hair Care,Hair Conditioner & Treatment,Low / 3-5,33.9,13.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0553,Meesho,Oral-B,Oral Care,Toothpaste,Medium / 6-15,33.7,33.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0343,Flipkart,Fino,Hair Care,Hair Oil & Serum,Out of Stock / 0,33.7,32.7,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0758,Meesho,Sasi,Lip,Sunscreen,Very Low / 1-2,33.7,16.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1052,Flipkart,Sunsilk,Hair Care,Shampoo,Out of Stock / 0,33.7,14.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1042,Meesho,Sunsilk,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,33.5,33.0,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0262,Flipkart,Dove,Hair Care,Hair Oil & Serum,Out of Stock / 0,33.3,17.3,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0475,Meesho,Listerine,Oral Care,Mouthwash,Low / 3-5,33.1,13.1,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0172,Meesho,Colgate,Oral Care,Toothpaste,Very Low / 1-2,32.9,32.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0024,Meesho,AR,Skin Care,General Product,Out of Stock / 0,32.9,16.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P1164,Flipkart,Wangprom,Health & Wellness,Herbal Inhaler,Out of Stock / 0,32.9,13.6,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0780,Meesho,Senka,Skin Care,Face Cleanser,Very Low / 1-2,32.7,32.5,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0602,Meesho,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,32.7,32.2,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0278,Flipkart,Dove,Hair Care,Shampoo,Out of Stock / 0,32.7,16.9,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0598,Flipkart,Pantene,Hair Care,General Product,Out of Stock / 0,32.7,16.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
P0605,Flipkart,Pantene,Hair Care,Hair Conditioner & Treatment,Out of Stock / 0,32.4,33.8,Low Risk,Strong,Monitor,Monitor,Low,No action threshold triggered; continue monitoring.
